Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
1,27,solaser.com.br,306,187.16.24.64,br,2017-11-16,2017-12-07
23,32,vivadecora.com.br,5,54.233.69.171,br,2017-10-05,2017-12-09
20,31,tibahia.com,4,104.28.26.29,us,2017-08-26,2017-12-04
15,30,cpadnews.com.br,4,177.153.16.88,br,2016-12-27,2017-11-30
11,29,editoracpad.com.br,4,177.153.16.88,br,2016-11-23,2017-12-01
1,0,integrarti.com,4,179.188.11.240,br,2017-10-24,2017-11-19
15,30,satisfacaodeclientes.com,3,209.15.20.225,ca,2017-10-19,2017-11-03
38,44,stackshare.io,3,23.23.241.244,us,2017-10-31,2017-12-04
21,31,portalnovarejo.com.br,3,52.176.95.32,us,2017-07-21,2017-12-04
36,43,ecommercebrasil.com.br,3,177.52.163.198,br,2017-06-18,2017-12-04
21,33,agendor.com.br,3,54.207.54.17,br,2017-10-01,2017-11-16
8,28,urlm.com.br,2,54.232.110.36,br,2017-06-25,2017-11-25
18,30,erpflex.com.br,2,54.232.215.166,br,2017-10-10,2017-10-10
0,0,brweb.xyz,2,192.155.92.219,us,2017-09-02,2017-11-29
0,0,webwiki.pt,2,144.76.222.78,de,2017-11-18,2017-11-18
39,47,catracalivre.com.br,2,104.20.88.235,us,2017-09-03,2017-11-07
18,30,vendamais.com.br,2,52.26.248.167,us,2017-06-24,2017-12-08
7,28,cargobr.com,2,34.224.199.208,us,2017-07-10,2017-11-28
37,44,player.fm,2,45.79.156.166,us,2017-10-23,2017-11-09
30,38,ecommercenews.com.br,2,170.80.189.10,br,2017-10-11,2017-10-11
21,31,trampos.co,1,54.207.1.139,br,2017-09-10,2017-11-26
1,0,realtechcampinas.com.br,1,187.17.111.100,br,2017-10-23,2017-10-23
0,0,websitelist.in,1,104.31.75.53,us,2017-09-19,2017-09-19
16,32,rdsummit.com.br,1,52.92.74.7,br,2017-02-10,2017-10-05
23,34,startse.com.br,1,40.117.189.221,us,2017-10-14,2017-11-30
17,32,cpad.com.br,1,54.172.114.105,us,2017-01-04,2017-11-27
0,0,rankank.com,1,47.88.101.75,us,2017-09-26,2017-10-28
24,33,runrun.it,1,162.243.1.197,us,2016-12-30,2017-12-09
1,0,beltis.com.br,1,200.198.179.58,br,2017-09-13,2017-11-14
1,0,mybexs.com,1,187.17.111.104,br,2017-02-17,2017-11-15
26,34,imcgrupo.com,1,68.178.129.189,us,2017-11-10,2017-11-26
61,64,uol.com.br,1,200.147.161.128,br,2017-09-06,2017-11-24
5,7,diretoriodeartigos.net,1,104.27.188.168,us,2017-05-25,2017-11-26
27,36,startupi.com.br,1,208.97.188.30,us,2017-10-05,2017-11-22
1,0,atualcs.com.br,1,186.202.126.26,br,2017-08-22,2017-10-24
3,0,bexs.com,1,187.17.111.104,br,2017-04-24,2017-11-13
15,22,hubdoempreendedor.com.br,1,54.232.250.69,br,2017-03-01,2017-10-22
0,0,evindex.com,1,104.31.72.214,us,2017-11-15,2017-11-15
48,55,capterra.com,1,204.197.210.126,us,2017-11-09,2017-11-09
8,14,atendesimples.com,1,54.221.217.126,us,2017-07-24,2017-12-07
0,0,startse.com,1,169.57.129.148,br,2017-12-07,2017-12-07
6,14,envisiontecnologia.com.br,1,200.219.234.185,br,2017-09-29,2017-11-15
8,28,allis.com.br,1,200.198.191.227,br,2017-09-05,2017-12-07
0,0,sitegur.com,1,5.9.10.113,de,2017-07-23,2017-11-21
5,3,arminianismo.com,1,208.115.204.91,us,2016-11-23,2017-11-30
